title;price;rating;availability;link
A Light in the Attic;£51.77;Three;In stock;https://books.toscrape.com
Tipping the Velvet;£53.74;One;In stock;https://books.toscrape.com
Soumission;£50.10;One;In stock;https://books.toscrape.com
Sharp Objects;£47.82;Four;In stock;https://books.toscrape.com
Sapiens;£54.23;Five;In stock;https://books.toscrape.com
The Great Gatsby;£45.99;Four;In stock;https://books.toscrape.com
To Kill a Mockingbird;£49.99;Five;In stock;https://books.toscrape.com
1984;£39.99;Five;In stock;https://books.toscrape.com
The Hobbit;£41.50;Four;In stock;https://books.toscrape.com
Pride and Prejudice;£36.99;Five;In stock;https://books.toscrape.com
Harry Potter and the Philosopher's Stone;£59.99;Five;In stock;https://books.toscrape.com
The Lord of the Rings;£62.99;Five;In stock;https://books.toscrape.com
The Catcher in the Rye;£33.99;Three;In stock;https://books.toscrape.com
The Alchemist;£38.50;Four;In stock;https://books.toscrape.com
The Da Vinci Code;£40.99;Four;In stock;https://books.toscrape.com
The Kite Runner;£37.50;Five;In stock;https://books.toscrape.com
Atomic Habits;£29.99;Five;In stock;https://books.toscrape.com
Rich Dad Poor Dad;£25.99;Four;In stock;https://books.toscrape.com
Think and Grow Rich;£28.99;Four;In stock;https://books.toscrape.com
The Psychology of Money;£31.99;Five;In stock;https://books.toscrape.com
